BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE,DAMAGE_PROPERTY_CONV,DAMAGE_CROPS_CONV,TOTAL_DAMAGE
202405,19,1839,202405,19,1902,190905,1184919,OKLAHOMA,40,2024,May,Tornado,C,39,CUSTER,OUN,5/19/2024 18:39,CST-6,5/19/2024 19:02,0,0,0,0,150.00K,0.00K,NWS Storm Survey,,,,,EF1,6.7,400,,,,,8,WNW,CUSTER CITY,5,N,CUSTER CITY,35.71,-99.001,35.737,-98.891,"Significant severe weather occurred across portions of western into central Oklahoma from the late afternoon of the 19th through early morning on the 20th. Aloft, a strong and compact upper wave moved across portions of Kansas during the afternoon. While most severe weather outcomes were expected further north of the WFO Norman area, a few supercell thunderstorms developed along a trailing dryline near the 100th meridian. This included a powerful supercell thunderstorm that moved from Hemphill County, Texas (WFO Amarillo, Texas) into portions of Roger Mills/Custer/Washita/Blaine/Canadian/Oklahoma counties during the afternoon into late evening hours. This thunderstorm was responsible for thirteen (13) tornadoes, including significant tornadoes west of Custer City and near Yukon, Oklahoma. Significant damaging wind gusts/damage and large to very large hail also occurred with this thunderstorm. Additional hail-producing supercells developed into portions of northwestern Oklahoma during the evening, with one becoming briefly tornadic during the late evening across Woods County, Oklahoma.","While the large multiple-vortex tornado was approaching US-183 to the south, another tornado developed to the north along E0900 Road. It moved east along E0900 Road and then turned east-northeast after crossing US-183. The tornado was observed to dissipate north of Custer City by a meteorologist in the field. At least a half dozen outbuildings were significantly damaged and at least two of these were destroyed. In addition, tree and power pole damage was observed along the path.",CSV,150000,0,150000
202411,5,1101,202411,5,1102,196653,1216653,IOWA,19,2024,November,Tornado,C,51,DAVIS,DMX,11/5/2024 11:01,CST-6,11/5/2024 11:02,0,0,0,0,120.00K,0.00K,Trained Spotter,,,,,EF0,0.32,50,,,,,4,ESE,BELKNAP,4,ESE,BELKNAP,40.803,-92.3482,40.8062,-92.3437,A brief tornado occurred with a shower in Davis County during the late morning.  Weak instability along a modest boundary was sufficient for a small tornado from a shower producing EF0 damage.,A brief tornado occurred south of Floris from a developing weak storm. The tornado moved across a farmstead on the west side of Pecan Avenue producing high end EF0 damage to two metal buildings. The tornado lifted shortly afterwards.,CSV,120000,0,120000
202402,27,1932,202402,27,1935,188190,1155977,ILLINOIS,17,2024,February,Tornado,C,31,COOK,LOT,2/27/2024 19:32,CST-6,2/27/2024 19:35,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF1,2.58,110,,,,,0,SSE,HOFFMAN ESTATES,2,S,INVERNESS,42.0572,-88.1184,42.0898,-88.0937,"Following summer-like, record warmth, severe thunderstorms developed in the late afternoon of February 27th over northwest Illinois and spread east through the evening across the Chicago metro area. A total of 11 tornadoes touched down in Illinois. There were 11 tornadoes in total across the NWS Chicago area of responsibility, which is the most in a February event since official NWS tornado records began in 1950. In addition to the tornadoes, the storms produced numerous instances of severe hail and damaging straight-line wind.","This tornado touched down in the area near Della Drive in Hoffman Estates and tracked northeast, snapping tree branches, downing power lines along Hassell Road, and damaging shingles, fascia, and gutters on homes. The tornado then tracked across I-90 and entered the Paul Douglas Forest Preserve, where it snapped and uprooted several trees. The tornado then exited the forest preserve and entered the subdivision to the northwest of Algonquin Road and Ela Road, where it caused roof, soffit, and fascia damage to several residences. Shortly thereafter, the tornado lifted as it entered Inverness.",CSV,0,0,0
202402,27,1934,202402,27,1937,188190,1155978,ILLINOIS,17,2024,February,Tornado,C,31,COOK,LOT,2/27/2024 19:34,CST-6,2/27/2024 19:37,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF1,2.45,160,,,,,1,S,SOUTH BARRINGTON,2,SSW,INVERNESS,42.0722,-88.1485,42.0994,-88.1177,"Following summer-like, record warmth, severe thunderstorms developed in the late afternoon of February 27th over northwest Illinois and spread east through the evening across the Chicago metro area. A total of 11 tornadoes touched down in Illinois. There were 11 tornadoes in total across the NWS Chicago area of responsibility, which is the most in a February event since official NWS tornado records began in 1950. In addition to the tornadoes, the storms produced numerous instances of severe hail and damaging straight-line wind.","This tornado formed near Studio Drive in South Barrington, with the first damage observed at the South Barrington Tennis Club. The tornado moved northeastward through eastern sections of The Glen subdivision, producing sporadic tree damage. As the tornado crossed Barrington Road near Mundhank Road, significant tree damage occurred, with numerous branches and trunks snapped. The tornado continued northeast toward Willow Creek Church, where it uprooted at least one tree and damaged metal bus shelters. Damage became less severe as the tornado neared Algonquin Road, but increased again as the tornado turned to the east toward Whispering Trails Drive and Huntington Boulevard in Hoffman Estates. Damage was noted to residences along Chesapeake Court, Fir Court, and Crimson Drive with two residences losing a significant amount of roofing material. Other homes in the neighborhood had shingle damage, and a window was damaged at another residence. Tree damage, including broken limbs, was also observed. Roofing material removed from a home on Fir Court was deposited to the northwest, with plywood impaled into the ground and other debris penetrating the wall of a house, ending up in its living room. The tornado dissipated near Crimson Drive in Hoffman Estates.",CSV,0,0,0
202402,27,1815,202402,27,1816,188190,1155954,ILLINOIS,17,2024,February,Tornado,C,103,LEE,LOT,2/27/2024 18:15,CST-6,2/27/2024 18:16,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF0,0.05,10,,,,,1,W,PAW PAW AIRPORT,1,W,PAW PAW AIRPORT,41.7168,-89.0537,41.7173,-89.0529,"Following summer-like, record warmth, severe thunderstorms developed in the late afternoon of February 27th over northwest Illinois and spread east through the evening across the Chicago metro area. A total of 11 tornadoes touched down in Illinois. There were 11 tornadoes in total across the NWS Chicago area of responsibility, which is the most in a February event since official NWS tornado records began in 1950. In addition to the tornadoes, the storms produced numerous instances of severe hail and damaging straight-line wind.","A brief tornado, which was sighted by storm chasers, touched down along Beemerville Road northeast of Compton and caused roof damage to a farm outbuilding.",CSV,0,0,0
202402,27,1917,202402,27,1919,188190,1155975,ILLINOIS,17,2024,February,Tornado,C,89,KANE,LOT,2/27/2024 19:17,CST-6,2/27/2024 19:19,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF1,1.16,125,,,,,1,WSW,GENEVA,0,SE,GENEVA,41.8827,-88.3482,41.8866,-88.3262,"Following summer-like, record warmth, severe thunderstorms developed in the late afternoon of February 27th over northwest Illinois and spread east through the evening across the Chicago metro area. A total of 11 tornadoes touched down in Illinois. There were 11 tornadoes in total across the NWS Chicago area of responsibility, which is the most in a February event since official NWS tornado records began in 1950. In addition to the tornadoes, the storms produced numerous instances of severe hail and damaging straight-line wind.","This tornado touched down along Keslinger Road west of Randall Road in Geneva. The first instance of damage was noted to a metal garage/storage building, which had portions of roofing and walls damaged or removed and was shifted off its foundation. The structure did not appear to be properly anchored to its foundation. Trees and a traffic light were then damaged as the tornado crossed the intersection, with shingle, soffit, and siding damage noted at a commercial building before the tornado moved into a residential area. A concentrated corridor of damage consistent with EF-1 wind speeds near 95 mph occurred along Cambridge Drive and Essex Court, where damage to several roofs and windows was observed. In addition, nearby trees were significantly damaged with almost all large branches snapped. The tornado weakened and narrowed as it moved east just north of Kaneville Road, with tree damage noted until the tornado dissipated near Kaneville Road and Burgess Road. The tornado was on the ground for fewer than two minutes.",CSV,0,0,0
202402,27,2115,202402,27,2118,188196,1155980,INDIANA,18,2024,February,Tornado,C,89,LAKE,LOT,2/27/2024 21:15,CST-6,2/27/2024 21:18,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF1,2.17,75,,,,,1,NNW,(GYY) GARY AIRPORT,2,NE,(GYY) GARY AIRPORT,41.6349,-87.4305,41.6359,-87.3902,"Following summer-like, record warmth, severe thunderstorms developed in the late afternoon of February 27th over northwest Illinois and spread east through the evening across the Chicago metro area. One tornado touched down in Indiana on the north side of Gary. There were 11 tornadoes in total across the NWS Chicago area of responsibility, which is the most in a February event since official NWS tornado records began in 1950.","A tornado touched down near Cline Avenue and Industrial Highway just north of Gary Airport. The tornado moved eastward through a wooded industrial area and damaged multiple power poles, including snapping several that were relatively new. Snapped tree limbs were also observed along the path of the tornado. The tornado then turned east-northeast and moved offshore onto Lake Michigan.",CSV,0,0,0
202402,27,1856,202402,27,1859,188190,1155960,ILLINOIS,17,2024,February,Tornado,C,89,KANE,LOT,2/27/2024 18:56,CST-6,2/27/2024 18:59,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF0,2.8,175,,,,,3,W,BIG ROCK,0,N,BIG ROCK,41.7544,-88.602,41.7638,-88.5492,"Following summer-like, record warmth, severe thunderstorms developed in the late afternoon of February 27th over northwest Illinois and spread east through the evening across the Chicago metro area. A total of 11 tornadoes touched down in Illinois. There were 11 tornadoes in total across the NWS Chicago area of responsibility, which is the most in a February event since official NWS tornado records began in 1950. In addition to the tornadoes, the storms produced numerous instances of severe hail and damaging straight-line wind.","Storm chasers documented a tornado touching down in a field south of Hinckley near Somonauk Road and Bastian Road. High resolution satellite imagery showed that this tornado first moved to the northeast mostly in open fields, but likely caused tree damage to properties just north of Bastian Road as it crossed into Kane County. The tornado then turned to the east and caused damage to multiple farm outbuildings, peeled shingles off of roofs, and caused tree damage before lifting as it tracked into Big Rock.",CSV,0,0,0
202402,27,1906,202402,27,1916,188190,1155974,ILLINOIS,17,2024,February,Tornado,C,89,KANE,LOT,2/27/2024 19:06,CST-6,2/27/2024 19:16,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF1,8.13,125,,,,,2,N,(ARR) AURORA MUNICIPAL AIRPORT,1,WNW,BATAVIA,41.7949,-88.4686,41.8543,-88.3324,"Following summer-like, record warmth, severe thunderstorms developed in the late afternoon of February 27th over northwest Illinois and spread east through the evening across the Chicago metro area. A total of 11 tornadoes touched down in Illinois. There were 11 tornadoes in total across the NWS Chicago area of responsibility, which is the most in a February event since official NWS tornado records began in 1950. In addition to the tornadoes, the storms produced numerous instances of severe hail and damaging straight-line wind.","This tornado touched down near Hartner Road southwest of Waubonsee Community College and trekked northeastward eventually lifting near McKee Street and Western Avenue in Batavia. Some of the more noteworthy damage along the storm's over 8 mile path include a large wooden barn that had been displaced from its foundation and collapsed near Lake Run as well as damage to some industrial equipment. Several trees, roofs, and business signs also sustained damage along the path. The storm also moved across the Waubonsee Community College campus shortly after touching down where it damaged trees and signs and toppled one parking lot light pole.",CSV,0,0,0
202402,27,1853,202402,27,1856,188190,1155959,ILLINOIS,17,2024,February,Tornado,C,37,DE KALB,LOT,2/27/2024 18:53,CST-6,2/27/2024 18:56,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF0,2.59,175,LOT,IL,089,KANE,1,SSW,HINCKLEY,2,ESE,HINCKLEY,41.7507,-88.652,41.7544,-88.602,"Following summer-like, record warmth, severe thunderstorms developed in the late afternoon of February 27th over northwest Illinois and spread east through the evening across the Chicago metro area. A total of 11 tornadoes touched down in Illinois. There were 11 tornadoes in total across the NWS Chicago area of responsibility, which is the most in a February event since official NWS tornado records began in 1950. In addition to the tornadoes, the storms produced numerous instances of severe hail and damaging straight-line wind.","Storm chasers documented a tornado touching down in a field south of Hinckley near Somonauk Road and Bastian Road. High resolution satellite imagery showed that this tornado first moved to the northeast mostly in open fields, but likely caused tree damage to properties just north of Bastian Road as it crossed into Kane County. The tornado then turned to the east and caused damage to multiple farm outbuildings, peeled shingles off of roofs, and caused tree damage before lifting as it tracked into Big Rock.",CSV,0,0,0
